"OBJECTID,N,10,0","ID,N,10,0","ADDRESS,C,80","TERMINAL_N,C,80","LATITUDE,N,24,15","LONGITUDE,N,24,15","INSTALLED,C,80","LOCKED,C,80","INSTALL_DA,C,80","REMOVAL_DA,C,80","TEMPORARY_,C,80","NUMBER_OF_,N,10,0","NUMBER_O_1,N,10,0","X,N,24,15","Y,N,24,15","SE_ANNO_CA,C,80"
74321160,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,5,405041.71541905,137060.65262358,
74321161,39,Anacostia Metro,31801,38.862669,-76.994637,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,4,400465.45079874,132761.28847182,
74321162,40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,6,401038.0179126,133283.52133563,
74321163,41,19th & E Street NW,31206,38.8952,-77.0436,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,6,396217.71315484,136373.36645763,
74321164,42,4th & W St NE,31500,38.919077,-77.000648,YES,NO,1969-12-31T20:00:00.000Z,,NO,7,6,399943.80500792,139023.00525965,
74321165,43,10th & U St NW,31111,38.9172,-77.0259,YES,NO,1969-12-31T20:00:00.000Z,,NO,10,5,397753.87564422,138814.96095752,
74321166,44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,11,398074.95841142,139669.64140129,
74321167,45,1st & N St  SE,31209,38.8743,-77.0057,YES,NO,1969-12-31T20:00:00.000Z,,NO,7,32,399505.38183805,134052.41738498,
74321168,46,20th St & Florida Ave NW,31110,38.9154,-77.0446,YES,NO,1969-12-31T20:00:00.000Z,,NO,0,14,396132.05899493,138615.77216932,
74321169,47,7th & T St NW,31109,38.9155,-77.0222,YES,NO,1969-12-31T20:00:00.000Z,,NO,3,12,398074.70465287,138626.16224103,
74321170,48,23rd & Eads St,31013,38.853531,-77.053509,YES,NO,1969-12-31T20:00:00.000Z,,NO,5,9,395355.3991924,131748.25211246,
74321171,49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,YES,NO,1969-12-31T20:00:00.000Z,,NO,16,0,399678.94106865,134274.42351994,
74321172,51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,YES,NO,1969-12-31T20:00:00.000Z,,NO,37,6,396149.11786763,138027.41994099,
74321173,52,1st & M St NE,31603,38.9057,-77.0056,YES,NO,1969-12-31T20:00:00.000Z,,NO,2,10,399514.27317303,137538.06239613,
74321174,53,21st & M St NW,31212,38.90534,-77.046774,YES,NO,1969-12-31T20:00:00.000Z,,NO,16,0,395942.94637664,137499.12394013,
74321175,54,17th & K St NW,31213,38.90276,-77.03863,YES,NO,1969-12-31T20:00:00.000Z,,NO,19,1,396649.21425572,137212.39264868,
74321176,55,3rd & H St NW,31604,38.899408,-77.015289,YES,NO,1969-12-31T20:00:00.000Z,,NO,4,11,398673.76205224,136839.69580021,
74321177,56,3rd & D St SE,31605,38.8851,-77.0023,YES,NO,1969-12-31T20:00:00.000Z,,NO,6,4,399800.44743845,135251.28674748,
74321178,57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,YES,NO,1969-12-31T20:00:00.000Z,,NO,9,6,401197.39591334,134718.53788821,
74321179,58,14th & D St SE,31607,38.884,-76.9861,YES,NO,1969-12-31T20:00:00.000Z,,NO,8,7,401206.0101559,135129.26756581,
